datetime,rssi
2025-10-04 20:02:49.540566,-90
2025-10-04 20:02:49.593621,-93
2025-10-04 20:02:49.758477,-62
2025-10-04 20:02:49.862176,-57
2025-10-04 20:02:49.872948,-56
2025-10-04 20:02:50.123625,-61
2025-10-04 20:02:50.145059,-62
2025-10-04 20:02:50.262272,-91
2025-10-04 20:02:50.305320,-90
2025-10-04 20:02:50.717792,-90
2025-10-04 20:02:50.889474,-87
2025-10-04 20:02:51.025620,-84
2025-10-04 20:02:51.036018,-86
2025-10-04 20:02:51.242744,-93
2025-10-04 20:02:52.356103,-90
2025-10-04 20:02:53.360433,-53
2025-10-04 20:02:54.166549,-89
2025-10-04 20:02:54.208257,-90
2025-10-04 20:02:54.229738,-90
2025-10-04 20:02:56.898811,-59
2025-10-04 20:02:56.909764,-60
2025-10-04 20:02:57.106736,-57
2025-10-04 20:02:57.138228,-56
2025-10-04 20:02:57.221342,-90
2025-10-04 20:02:57.232063,-90
